Wed Nov 30 03:59:26 2022    output.dat

         2990370 function calls (2984452 primitive calls) in 45.598 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2214    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:249(match)
       47    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      410    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:321(process_event)
 1399/129    0.001    0.000    0.003    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:47(<lambda>)
     1531    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:589(set_text_input_hovered)
      542    0.001    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\ntpath.py:203(splitext)
      471    0.001    0.000    0.005    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1167(copy)
      174    0.001    0.000    0.002    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Dealer.py:57(receiveArmyFromTradingCards)
      188    0.001    0.000    0.020    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2118(distributions_from_metadata)
      972    0.001    0.000    0.007    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2044(<genexpr>)
     3591    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
      293    0.001    0.000    0.005    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:53(moveTroopsBetweenFriendlyTerrirories)
     4383    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:97(<lambda>)
     2602    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:71(<lambda>)
       55    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       94    0.001    0.000    0.008    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2576(from_location)
    111/5    0.001    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3319(streamline)
      194    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:474(_cmpkey)
      934    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFFE3B4A920}
      288    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
      161    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
     2437    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Dealer.py:158(<genexpr>)
     1303    0.001    0.000    0.001    0.000 {built-in method builtins.all}
     1814    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      417    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:31(getFriendlyTerritoryNeighbours)
     1270    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      132    0.001    0.000    0.013    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:25(sort_bsr_descendant)
       94    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     3780    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:104(<lambda>)
